"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書",,,,,,
項次,編碼,類別,書名,出版社,數量,備註
273,平圖贈00270,繪本,阿利的紅斗篷,上誼,1,藍
274,平圖贈00271,,媽媽，買綠豆！,上誼,,
275,平圖贈00272,,這是我的,上誼,,
276,平圖贈00273,,小水母要骨頭,親親文化,,綠
277,平圖贈00274,,威利在哪裡？,親子天下,,
278,平圖贈00275,,發現各式各樣的形狀,艾閣萌,,綠
279,平圖贈00276,,發現各式各樣的果實,艾閣萌,,
280,平圖贈00277,,船的故事,華一,,藍
281,平圖贈00278,,小紅帽,幼福,,
282,平圖贈00279,,膽小的劍龍,人類智庫,,淺藍
283,平圖贈00280,,角角動物園,大科學,,
284,平圖贈00281,,尾巴 尾巴,大科學,,
285,平圖贈00282,,迷海奇航,學研館,,綠
286,平圖贈00283,,童言童語5 (彩虹娃娃),漢幼文化,,綠
287,平圖贈00284,,甲蟲王者爭霸戰,三采文化,,綠
288,平圖贈00285,,智商UP2,光復,,綠
289,平圖贈00286,,魚兒水中游,台灣麥克,,
290,平圖贈00287,繪本,巧連智幼幼版2005年10月,日商貝樂思,,藍
291,平圖贈00288,繪本,巧連智幼幼版2005年11月,日商貝樂思,,藍
292,平圖贈00289,繪本,巧連智幼幼版2005年12月,日商貝樂思,,藍
293,平圖贈00290,繪本,巧連智幼幼版2006年01月,日商貝樂思,,藍
294,平圖贈00291,繪本,巧連智幼幼版2010年03月,日商貝樂思,,藍
295,平圖贈00292,繪本,巧連智低年級版2006年10月,日商貝樂思,,藍
296,平圖贈00293,繪本,巧連智低年級版2007年08月,日商貝樂思,,藍
297,平圖贈00294,繪本,巧連智寶寶版2008年3月,日商貝樂思,,藍
298,平圖贈00295,,小牛頓 25,牛頓,,綠
299,平圖贈00296,繪本,鱷魚放假了,漢聲,1,藍
300,平圖贈00297,繪本,巧克力貓書店,愛智,1,藍
301,平圖贈00298,繪本,巧連智幼幼版2012年09月,日商倍樂生,1,藍
302,平圖贈00299,繪本,巧連智幼幼版2012年10月,日商倍樂生,1,藍
303,平圖贈00300,繪本,巧連智幼幼版2012年11月,日商倍樂生,1,藍
304,平圖贈00301,繪本,巧連智幼幼版2012年12月,日商倍樂生,1,藍
305,平圖贈00302,繪本,巧連智幼幼版2013年02月,日商倍樂生,1,藍
306,平圖贈00303,繪本,巧連智幼幼版2013年03月,日商倍樂生,1,藍
307,平圖贈00304,繪本,巧連智幼幼版2013年04月,日商倍樂生,1,藍
308,平圖贈00305,繪本,巧連智幼幼版2013年05月,日商倍樂生,1,藍
309,平圖贈00306,繪本,巧連智幼幼版2013年06月,日商倍樂生,1,藍
310,平圖贈00307,繪本,巧連智幼幼版2013年07月,日商倍樂生,1,藍
311,平圖贈00308,繪本,巧連智幼幼版2013年08月,日商倍樂生,1,藍
312,平圖贈00309,繪本,借你一把傘,信誼,1,藍
313,平圖贈00310,繪本,兔子先生去散步,信誼,1,藍
314,平圖贈00311,繪本,爸爸跟我玩,信誼,1,藍
315,平圖贈00312,繪本,My Body,日商倍樂生,1,藍
316,平圖贈00313,繪本,藏在誰那兒呢?,上誼,1,藍
317,平圖贈00314,繪本,月亮掉下來,巧育文化,1,藍
318,平圖贈00315,繪本,懶惰的農夫,巧育文化,1,藍
319,平圖贈00316,繪本,小水母傑利的奇幻旅程,子曰文化,1,藍
320,平圖贈00317,繪本,小熊奇奇的冒險,蒲公美希望基金會,1,藍
321,平圖贈00318,繪本,賣火柴的小女孩,文化圖書,1,藍
322,平圖贈00319,繪本,小小火車變變變,親子天下,1,藍
323,平圖贈00320,繪本,巧連智小學生低年級版 2007年10月,日商倍樂生,1,藍
324,平圖贈00321,繪本,勤勞的小母雞,啟思數學童話,1,藍
325,平圖贈00322,語文,認知小書ㄅ.ㄆ.ㄇ (上) ,小馬哥,1,黃
326,平圖贈00323,語文,認知小書ㄅ.ㄆ.ㄇ (下) ,小馬哥,1,黃
327,平圖贈00324,語文,認知小書A.B.C (上) ,小馬哥,1,黃
328,平圖贈00325,語文,認知小書A.B.C (下) ,小馬哥,1,黃
329,平圖贈00326,語文,認知小書 動物,小馬哥,1,黃
330,平圖贈00327,語文,認知小書 水果,小馬哥,1,黃
331,平圖贈00328,語文,認知小書 蔬菜,小馬哥,1,黃
332,平圖贈00329,語文,認知小書 形狀與色彩,小馬哥,1,黃
333,平圖贈00330,語文,認知小書1.2.3,小馬哥,1,黃
