"財團法人彭婉如文教基金會附設高雄市私立平等非營利幼兒園(高雄市政府委託辦理)
圖書清冊",,,,,,,,,,
圖書分類代號別：藍色-->繪本(美感)  紅色-->身體健康(飲食、保健) 黃色-->語文類   (生命教育類)             綠色-->自然科學類  粉紅色-->社會(社區類)  紫色-->性別教育    淺藍色-->情緒,,,,,,,,,,
數量,編碼,圖書分類,書名,出版社,單位,數量,備註,分類,,
76,007-4-07-EA-076,繪本,發霉的紅蘿蔔餅,巧育文化,套,1,,藍色,,
77,007-4-07-EA-077,繪本,誰偷了紅蘿蔔,巧育文化,套,1,,藍色,,
78,007-4-07-EA-078,繪本,很兇很兇的老鷹,巧育文化,套,1,,藍色,,
79,007-4-07-EA-079,社會,兩個秘密,巧育文化,套,1,,粉紅色,,
80,007-4-07-EA-080,繪本,棉花糖的早餐,巧育文化,套,1,,藍色,,
81,007-4-07-EA-081,社會,兔子借地,巧育文化,套,1,,粉紅色,,
82,007-4-07-EA-082,語文,我小時候長什麼樣子,上人,本,1,,黃色,,
83,007-4-07-EA-083,自然,如果垃圾越積越多…,上人,本,1,,綠色,,
84,007-4-07-EA-084,情緒,小毛，不可以！,維京 ,套,1,,淺藍色,,
85,007-4-07-EA-085,情緒,小毛，惹麻煩,維京 ,套,1,,淺藍色,,
86,007-4-07-EA-086,情緒,小毛上學去,維京 ,套,1,,淺藍色,,
87,007-4-07-EA-087,繪本,大家來大便,漢聲,本,1,,藍色,,
88,007-4-07-EA-088,美勞,我會摺紙一本通,幼福,本,1,,助人,,
89,007-4-07-EA-089,美勞,魔法摺紙大師-百變摺紙,幼福,本,1,,快樂,,
90,007-4-07-EA-090,美勞,魔法摺紙大師-歡樂摺紙,幼福,本,1,,助人,,
91,007-4-07-EA-091,美勞,摺紙小百科,幼福,本,1,,合作,,
92,007-4-07-EA-092,美勞,折紙大全,風車,本,1,,助人,,
93,007-4-07-EA-093,美勞,親子同樂玩摺紙,漢欣文化,本,1,,快樂,,
94,007-4-07-EA-094,美勞,益智摺紙,漢欣文化,本,1,,合作,,
95,007-4-07-EA-095,社會,人人生而自由,聯經,本,1,,粉紅色,,
96,007-4-07-EA-096,社會,街道是大家的,遠流,本,1,,粉紅色,,
97,007-4-07-EA-097,社會,環遊世界交朋友 ,飛寶國際,本,1,,粉紅色,,
98,007-4-07-EA-098,社會,輪椅是我的腳,東方,本,1,,粉紅色,,
99,007-4-07-EA-099,語文,第一條魚,小魯,本,1,,黃色,,
100,007-4-07-EA-100,情緒,是蝸牛開始的,三之三文化,本,1,,淺藍色,,
101,007-4-07-EA-101,社會,我是老大,米奇巴克,本,1,,粉紅色,,
102,007-4-07-EA-102,英文繪本,DINOSAURS,,本,1,105.01購入                                 教師參考書,,,
103,007-4-07-EA-103,自然,浮冰上的小熊,維京,本,1,105.02購入,綠色,,
104,007-4-07-EA-104,語文,大熊抱,維京,本,1,105.02購入,黃色,,
105,007-4-07-EA-105,自然, 北極熊搶救家園,幼獅文化,本,1,105.02購入,綠色,,
106,007-4-07-EA-106,自然,森林是我家,格林,本,1,105.02購入,綠色,,
107,007-4-07-EA-107,社會,當風吹來的時候,漢聲,本,1,105.02購入,粉紅色,,
108,007-4-07-EA-108,社會,福島來的孩子,星月,本,1,105.02購入,粉紅色,,
109,007-4-07-EA-109,社會,好東西,小魯,本,1,105.02購入,粉紅色,,
110,007-4-07-EA-110,自然,從山裡逃出來/垃圾丟啊！     ,天下,本,1,105.02購入,綠色,,
111,007-4-07-EA-111,自然,上山種下一棵樹,小天下   ,本,1,105.02購入,綠色,,
112,007-4-07-EA-112,語文,阿諾的花園,小天下   ,1套3本,1,105.02購入,黃色,,
113,007-4-07-EA-113,語文,航海小英雄,小天下   ,套,1,105.02購入,黃色,,
114,007-4-07-EA-114,語文,阿吉的許願鼓,小天下   ,套,1,105.02購入,黃色,,
115,007-4-07-EA-115,情緒,阿文的小毯子,三之三,本,1,105.02購入,淺藍色,,
116,007-4-07-EA-116,情緒,我不敢說，我怕被罵,大穎文化,本,1,105.02購入,淺藍色,,
117,007-4-07-EA-117,性別教育,你不可以隨便摸我,大穎文化,本,1,105.02購入,紫色,,
